model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0042116500001156965
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004627948000006654
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003570965999870168
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.0045646220000890025
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004221921999942424
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004233421999970233
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004625963000080446
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036042690001067967
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004639052999891646
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004245669000056296
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0042492200000197045
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004708497000137868
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0036004160001539276
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004596243000150935
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004281450999997105
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0042495780000990635
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004647971999929723
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.0035906830000840273
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004696380000041245
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.0043018659998779185
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,159,545,0,0,Nothing,SepSeq,0.004289669999934631
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.004602927999940221
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,475,0,0,Nothing,SepSeq,0.003597509999963222
ASN_learnresult_SecureCode Aut_fix,4,14,56,4,144,471,0,0,Nothing,SepSeq,0.00467379799988521
