model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_queries,learn_steps,test_queries,test_steps,time
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3678305969806388
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36986722899018787
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3649665700213518
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36816448002355173
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36575113801518455
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37280243798159063
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36556850699707866
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36679038699367084
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37165476600057445
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3767469240119681
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.39017729900660925
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37063644800218754
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3687442939844914
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3706726410018746
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3677123640081845
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36853668399271555
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3663999689742923
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3660312299907673
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37357598199741915
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3721733040001709
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3689946759841405
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36891618199297227
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3664145450165961
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3676052530063316
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.38605851301690564
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.373042464023456
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3655298249796033
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36514429200906307
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3647796839941293
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3686913800192997
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3646444540063385
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3639823470148258
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.38080122700193897
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36935861699748784
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3739152810012456
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3753036390116904
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3730226460029371
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37094882599194534
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3906031369988341
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37057232300867327
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3676933469832875
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.3704690189915709
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.37267007600166835
ASN_learnresult_SecureCode Aut_fix,4,14,56,1,798,2758,156604,853776,0.36741876500309445
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6446822749858256
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6469782040221617
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6513217859901488
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6571261109784245
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6341845879796892
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6414158779953141
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6346573269984219
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.645713573001558
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6376691460027359
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6399372809974011
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6524804219952784
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6486610090069007
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6466869119904004
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6564873690076638
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6547930589877069
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.652743578015361
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6401563429972157
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6429291770036798
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6508427780063357
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6583779770007823
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6549005940032657
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6389864209922962
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6506871630263049
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6409185299999081
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6510839740221854
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6397008349886164
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6489574070146773
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6331207990006078
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6372122789907735
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6370845199853648
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6517291989875957
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6552589779894333
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6392148830054794
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6558417240157723
1_learnresult_MasterCard_fix,5,15,75,1,1140,4290,256725,1478700,0.6619003640080336
