name,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,ads_score,learning_algorithm,time_taken,seed
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002719869, 2263
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002609486, 2283
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002656737, 2365
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002601216, 2370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002485446, 2408
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003072322, 2495
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003028663, 2528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004356927, 2554
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003659892, 2558
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003312294, 2561
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003544901, 2588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002781372, 2610
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003069199, 2619
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003717949, 2679
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002616823, 2773
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002436871, 2816
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002880531, 2950
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002669377, 2966
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.00381205, 2969
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003537569, 2983
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002446704, 3044
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002647768, 3101
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003334364, 3131
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002783447, 3147
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002446663, 3169
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002960451, 3209
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003068075, 3211
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003476989, 3213
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004970775, 3235
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003278325, 3265
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004577957, 3350
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003745616, 3383
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004156379, 3415
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.005113859, 3444
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004257529, 3496
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004004313, 3528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003546552, 3588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002668859, 3658
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004786932, 3743
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.00485599, 3769
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002911174, 3806
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002612981, 3809
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002766535, 3900
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003558218, 3980
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003202819, 4094
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002950331, 4179
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004866433, 4358
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004755527, 4370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003867493, 4447
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.00455618, 4467
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.00393743, 4535
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003146596, 4550
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004221204, 4588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003638718, 4632
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003934042, 4646
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002858387, 4689
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003877921, 4782
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.002783687, 4845
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003670646, 4948
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.004213938, 5102
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,474,145,0,0,0,lsharp_Nothing_SepSeq, 0.003008471, 5409
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011758944, 81
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011049151, 100
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010544004, 158
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011417794, 216
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011179942, 245
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012489973, 359
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012055334, 366
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011449719, 470
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.01131656, 560
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011368703, 578
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011433322, 580
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011749916, 597
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011436713, 661
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011046211, 689
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010702439, 692
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010239888, 783
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011239464, 818
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010719304, 879
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012122164, 930
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011507458, 968
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011201857, 995
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011429396, 1004
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012804714, 1005
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011873901, 1190
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012073821, 1205
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011560939, 1257
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010955925, 1320
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010052694, 1534
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011116653, 1541
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011926517, 1596
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011505338, 1607
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010789758, 1665
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.013017184, 1836
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011903622, 1989
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.0135022, 2015
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.009421556, 2143
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011706952, 2147
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012074148, 2199
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012106114, 2221
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.0112126, 2263
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010594603, 2283
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.00947559, 2365
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011582393, 2370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.009378022, 2408
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011478985, 2495
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.011634288, 2528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012331155, 2554
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010533673, 2558
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010709748, 2561
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.01118562, 2588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.010857611, 2610
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.01327336, 2619
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.012710528, 2679
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,488,145,0,0,0,lsharp_Nothing_Ads, 0.013015184, 2773
