model,number_of_states,number_of_inputs,complexity,learning_rounds,learn_resets,learn_steps,test_resets,test_steps,extension_rule,separation_rule,time,seed,tree_size
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037468910013558343,2408,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037514729992835782,2495,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003768403999856673,2528,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037418440042529255,2554,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037496660006581806,2558,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003765966997889336,2561,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037534770017373376,2588,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037526740052271634,2610,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003754617995582521,2619,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037373939994722605,2679,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003766126996197272,2773,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037524810031754896,2816,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037549350017798133,2950,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003744779998669401,2966,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003758001999813132,2969,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003752776996407192,2983,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.0037482580009964295,3044,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003766654997889418,3101,147
ASN_learnresult_SecureCode Aut_fix,4,14,56,3,145,474,0,0,Nothing,SepSeq,0.003748209994228091,3131,147
