name,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,ads_score,learning_algorithm,time,seed
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,456,136,2870,615,0,lsharp_Nothing_SepSeq,0.005143426,2283
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,448,134,3944,794,0,lsharp_Nothing_SepSeq,0.005014482,2365
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,311,101,23656,4602,0,lsharp_Nothing_SepSeq,0.008825951,2370
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,372,117,13688,3006,0,lsharp_Nothing_SepSeq,0.006064202,2408
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,361,112,17524,3384,0,lsharp_Nothing_SepSeq,0.006427838,2495
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,453,135,6196,1398,0,lsharp_Nothing_SepSeq,0.00702272,2528
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,344,108,20828,4392,0,lsharp_Nothing_SepSeq,0.00682635,2554
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,369,114,20464,4168,0,lsharp_Nothing_SepSeq,0.006877713,2558
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,462,138,2018,473,0,lsharp_Nothing_SepSeq,0.005220079,2561
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,376,118,12820,2404,0,lsharp_Nothing_SepSeq,0.00650537,2588
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,429,127,18812,4154,0,lsharp_Nothing_SepSeq,0.00832453,2610
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,450,134,14220,3356,0,lsharp_Nothing_SepSeq,0.007258413,2619
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,453,136,1592,402,0,lsharp_Nothing_SepSeq,0.005254139,2679
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,429,131,8816,2194,0,lsharp_Nothing_SepSeq,0.006245131,2773
ASN_learnresult_SecureCode Aut_fix.dot,true,3,4,14,428,130,8144,1788,0,lsharp_Nothing_SepSeq,0.005680474,2816
